date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:47	60272/60272	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2013:00:50%20GMT	https://demos.hogash.com/dannys/home-oblique/	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/home-oblique/index.html	(from https://demos.hogash.com/dannys/)
15:00:47	210612/210612	---M--	200	added ('OK')	image/jpeg	etag:%22336b4-55148c4e96f97%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_04.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_04.jpg	(from https://demos.hogash.com/dannys/)
15:00:47	94057/94057	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2013:00:50%20GMT	https://demos.hogash.com/dannys/menu/	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/menu/index.html	(from https://demos.hogash.com/dannys/)
15:00:47	417813/417813	---M--	200	added ('OK')	image/jpeg	etag:%2266015-55148c37193ae%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_07.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_07.jpg	(from https://demos.hogash.com/dannys/)
15:00:47	345336/345336	---M--	200	added ('OK')	image/jpeg	etag:%22544f8-5514801e1ec3a%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_06.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_06.jpg	(from https://demos.hogash.com/dannys/)
15:00:47	333836/333836	---M--	200	added ('OK')	image/jpeg	etag:%225180c-55147fd799912%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_13.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_13.jpg	(from https://demos.hogash.com/dannys/)
15:00:48	333702/333702	---M--	200	added ('OK')	image/jpeg	etag:%2251786-55147fe512d3e%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_11.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_11.jpg	(from https://demos.hogash.com/dannys/)
15:00:48	91152/91152	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2013:00:51%20GMT	https://demos.hogash.com/dannys/menu-boxed/	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/menu-boxed/index.html	(from https://demos.hogash.com/dannys/)
15:00:48	339083/339083	---M--	200	added ('OK')	image/jpeg	etag:%2252c8b-55147ff91301c%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_09.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_09.jpg	(from https://demos.hogash.com/dannys/)
15:00:48	19304/19304	---M--	200	added ('OK')	image/jpeg	etag:%224b68-55148baa5eac7%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_12.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_12.jpg	(from https://demos.hogash.com/dannys/)
15:00:48	330328/330328	---M--	200	added ('OK')	image/jpeg	etag:%2250a58-5514802607ef7%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_05.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_05.jpg	(from https://demos.hogash.com/dannys/)
15:00:48	66972/66972	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2013:00:52%20GMT	https://demos.hogash.com/dannys/reservation/	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/reservation/index.html	(from https://demos.hogash.com/dannys/)
15:00:48	320306/320306	---M--	200	added ('OK')	image/jpeg	etag:%224e332-55147fef01954%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_10.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_10.jpg	(from https://demos.hogash.com/dannys/)
15:00:49	332874/332874	---M--	200	added ('OK')	image/jpeg	etag:%225144a-5514802d8c07e%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_04.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/prod_04.jpg	(from https://demos.hogash.com/dannys/)
15:00:49	600758/600758	---M--	200	added ('OK')	image/jpeg	etag:%2292ab6-55148c4142d2f%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_06.jpg	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/img_06.jpg	(from https://demos.hogash.com/dannys/)
15:00:49	994/994	---M--	200	added ('OK')	image/png	etag:%223e2-55147f932dbad%22	https://demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/offer_bubble.png	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/uploads/sites/4/2017/05/offer_bubble.png	(from https://demos.hogash.com/dannys/)
15:00:49	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba25a1a-4d7%22	https://demos.hogash.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://demos.hogash.com/dannys/)
15:00:49	80295/80295	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2013:00:53%20GMT	https://demos.hogash.com/dannys/reservation-and-content/	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/reservation-and-content/index.html	(from https://demos.hogash.com/dannys/)
15:00:49	2024/2024	---MCZ	200	added ('OK')	application/javascript	etag:W/%227e8-571456ff1626b%22	https://demos.hogash.com/dannys/wp-content/plugins/hogash-mailchimp/assets/js/hg-mailchimp.js?ver=1.0.0	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/plugins/hogash-mailchimp/assets/js/hg-mailchimp8a54.js	(from https://demos.hogash.com/dannys/)
15:00:50	2650/2650	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a5a-57155d4a2864e%22	https://demos.hogash.com/dannys/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.4.3	F:/Downloads/Webdesigns/Danny/Dannys/demos.hogash.com/dannys/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.mincd45.js	(from https://demos.hogash.com/dannys/)
